------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
59          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -1.702375781419965e+00  1.200000000000000e+01  5.800000000000002e+00        1
 1.378000000000000e+00 -4.093719822168743e-02 -1.874479688040130e-01 -1.702145883736226e+00  1.191527164239532e+01  5.841747269762156e+00        1
 2.756000000000000e+00 -8.187439644337487e-02 -3.748959376080260e-01 -1.701915986052486e+00  1.183054328479064e+01  5.883494539524309e+00        2
 4.823000000000000e+00 -1.432786953118121e-01 -6.558306568758293e-01 -1.691893284693625e+00  1.170354148026033e+01  5.950265910558454e+00        2
 6.890000000000001e+00 -2.046271112712467e-01 -9.279181020345042e-01 -1.320949902499831e+00  1.157992338123941e+01  6.171822529088153e+00        2
 9.473750000000001e+00 -2.813126312205400e-01 -1.268027408482848e+00 -8.572706747575887e-01  1.142540075746326e+01  6.448768302250278e+00        3
 1.205750000000000e+01 -2.828193430900246e-01 -1.228196750254836e+00 -3.862701883289696e-01  1.128090483668956e+01  6.672854817030827e+00        4
 1.464125000000000e+01 -2.822344364100168e-01 -1.176949091731044e+00  2.783360745355494e-02  1.113767337826258e+01  6.885360843600192e+00        4
 1.722500000000000e+01 -2.804840586304691e-01 -1.114114203280370e+00  5.767971505381519e-02  1.100123125467380e+01  7.028993013965570e+00        5
 1.980875000000000e+01 -2.777043709151011e-01 -1.049650262802042e+00  9.917827801901674e-02  1.083478692347651e+01  7.143511522758432e+00        5
 2.239250000000000e+01 -2.723241144387386e-01 -9.810704951411301e-01  1.701169642710898e-01  1.059254151317525e+01  7.184473878862148e+00        6
 2.497625000000000e+01 -2.633630521623856e-01 -9.160480959202312e-01  2.341907700396116e-01  1.011430715985306e+01  7.205614934780805e+00        6
 2.756000000000000e+01 -2.498035326054694e-01 -8.555940558107553e-01  2.894487222257169e-01  9.333016697436639e+00  7.201301551883915e+00        7
 3.014375000000000e+01 -2.356404857215239e-01 -8.028981681322661e-01  2.948253982470136e-01  8.446085603693087e+00  7.157935941629241e+00        7
 3.272750000000000e+01 -2.210615215032697e-01 -7.555487659130831e-01  2.658266839831685e-01  7.486352885551618e+00  7.087657716859804e+00        8
 3.531125000000000e+01 -2.108456869108788e-01 -7.238888263246950e-01  2.293659878972149e-01  6.803356031618323e+00  6.989845069636979e+00        8
 3.789500000000000e+01 -2.021135283269500e-01 -6.975640661343667e-01  1.903678555317121e-01  6.214462813747733e+00  6.882669381316592e+00        9
 4.047875000000001e+01 -1.939623251487500e-01 -6.921111463101505e-01  1.921280564731014e-01  5.740806796776832e+00  6.749192952431244e+00        9
